id,journal_text,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,reflection_quality,emotional_state,intensity,cleaned_text,time_of_day_enc,reflection_quality_enc,previous_day_mood_enc,ambience_type_cafe,ambience_type_forest,ambience_type_mountain,ambience_type_ocean,ambience_type_rain,face_emotion_hint_calm_face,face_emotion_hint_happy_face,face_emotion_hint_neutral_face,face_emotion_hint_none,face_emotion_hint_tense_face,face_emotion_hint_tired_face,face_emotion_hint_unknown
1,The ocean ambience helped me stop drifting and concentrate on my next steps. My to-do list feels less chaotic.,12,6.5,4,2,afternoon,mixed,clear,focused,3,the ocean ambience helped me stop drifting and concentrate on my next steps my todo list feels less chaotic,2,2,3,False,False,False,True,False,True,False,False,False,False,False,False
2,"I tried to relax during the forest ambience, yet my thoughts kept racing. I still feel a low buzz in my body.",35,6.0,2,4,evening,calm,vague,restless,3,i tried to relax during the forest ambience yet my thoughts kept racing i still feel a low buzz in my body,3,0,0,False,True,False,False,False,False,False,False,False,False,True,False
3,The forest session slowed my thoughts and I feel more settled now.,3,6.0,2,1,night,overwhelmed,clear,calm,3,the forest session slowed my thoughts and i feel more settled now,4,2,5,False,True,False,False,False,False,True,False,False,False,False,False
4,"the mountain ambience was pleasant, though i can't say it shifted my mood much. idk.",25,7.0,4,4,night,focused,vague,neutral,1,the mountain ambience was pleasant though i cant say it shifted my mood much idk,4,0,1,False,False,True,False,False,True,False,False,False,False,False,False
5,"The rain session gave me a pause, but the pressure is still sitting hard on me. I'm carrying too much in my head.",25,5.0,3,5,afternoon,mixed,clear,overwhelmed,5,the rain session gave me a pause but the pressure is still sitting hard on me im carrying too much in my head,2,2,3,False,False,False,False,True,False,False,False,False,True,False,False
6,after the forest track i feel peaceful and less pulled in every direction. my shoulders feel less tense.,12,8.0,3,2,morning,mixed,vague,calm,3,after the forest track i feel peaceful and less pulled in every direction my shoulders feel less tense,1,0,3,False,True,False,False,False,True,False,False,False,False,False,False
7,Nothing strong came up during the rain session; I feel fairly normal. At least I paused for a moment.,20,6.5,2,4,early_morning,calm,conflicted,neutral,1,nothing strong came up during the rain session i feel fairly normal at least i paused for a moment,0,1,0,False,False,False,False,True,False,False,True,False,False,False,False
8,"even with the mountain session, my mind kept jumping between tasks.",12,6.0,3,4,morning,neutral,clear,restless,4,even with the mountain session my mind kept jumping between tasks,1,2,2,False,False,True,False,False,False,False,False,False,True,False,False
9,I couldn't really settle into the cafe track; I kept thinking of everything at once. I still feel a low buzz in my body.,8,5.5,3,4,early_morning,mixed,vague,restless,4,i couldnt really settle into the cafe track i kept thinking of everything at once i still feel a low buzz in my body,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False
10,The mountain ambience helped me stop drifting and concentrate on my next steps I should begin with the hardest task first,15,7.0,4,2,morning,overwhelmed,conflicted,focused,3,the mountain ambience helped me stop drifting and concentrate on my next steps i should begin with the hardest task first,1,1,5,False,False,True,False,False,True,False,False,False,False,False,False
